State of Geography A,County Name of Geography A,State of Geography B,County Name of Geography B,B-A_Estimate,MOE,A-B_Estimate,MOE,Net_Estimate,MOE,Gross_Estimate,MOE
Georgia,Randolph County,Florida,Gadsden County,3,4,0,,3,4,3,4
Georgia,Randolph County,Florida,Hillsborough County,13,19,0,,13,19,13,19
Georgia,Randolph County,Georgia,Barrow County,2,5,0,,2,5,2,5
Georgia,Randolph County,Georgia,Ben Hill County,29,67,0,,29,67,29,67
Georgia,Randolph County,Georgia,Bibb County,12,23,0,,12,23,12,23
Georgia,Randolph County,Georgia,Butts County,0,,27,38,-27,38,27,38
Georgia,Randolph County,Georgia,Chatham County,5,7,0,,5,7,5,7
Georgia,Randolph County,Georgia,Clarke County,0,,4,7,-4,7,4,7
Georgia,Randolph County,Georgia,Clay County,8,14,0,,8,14,8,14
Georgia,Randolph County,Georgia,Clayton County,3,7,0,,3,7,3,7
Georgia,Randolph County,Georgia,Coffee County,0,,13,23,-13,23,13,23
Georgia,Randolph County,Georgia,Dougherty County,41,68,18,21,23,72,59,71
Georgia,Randolph County,Georgia,Long County,0,,30,49,-30,49,30,49
Georgia,Randolph County,Georgia,Meriwether County,2,4,0,,2,4,2,4
Georgia,Randolph County,Georgia,Montgomery County,4,7,0,,4,7,4,7
Georgia,Randolph County,Georgia,Polk County,5,8,0,,5,8,5,8
Georgia,Randolph County,Georgia,Putnam County,10,16,0,,10,16,10,16
Georgia,Randolph County,Georgia,Quitman County,6,9,0,,6,9,6,9
Georgia,Randolph County,Georgia,Schley County,0,,51,80,-51,80,51,80
Georgia,Randolph County,Georgia,Screven County,0,,1,2,-1,2,1,2
Georgia,Randolph County,Georgia,Seminole County,0,,26,39,-26,39,26,39
Georgia,Randolph County,Georgia,Tattnall County,0,,5,9,-5,9,5,9
Georgia,Randolph County,Georgia,Terrell County,12,14,27,43,-15,44,39,46
Georgia,Randolph County,Georgia,Upson County,15,26,0,,15,26,15,26
Georgia,Randolph County,Georgia,Walker County,0,,14,25,-14,25,14,25
Georgia,Randolph County,Georgia,Walton County,3,5,0,,3,5,3,5
Georgia,Randolph County,North Carolina,Greene County,0,,20,34,-20,34,20,34
Georgia,Randolph County,South Carolina,Abbeville County,0,,11,18,-11,18,11,18
Georgia,Randolph County,Tennessee,Davidson County,0,,29,28,-29,28,29,28
Georgia,Randolph County,Tennessee,Montgomery County,0,,1,3,-1,3,1,3
Georgia,Randolph County,Texas,Bexar County,23,36,0,,23,36,23,36
Georgia,Randolph County,Virginia,Hopewell City,0,,58,93,-58,93,58,93
Georgia,Randolph County,Africa,-,4,6,,,,,,
Georgia,Richmond County,Alabama,Autauga County,11,19,0,,11,19,11,19
Georgia,Richmond County,Alabama,Butler County,16,27,0,,16,27,16,27
Georgia,Richmond County,Alabama,Cherokee County,14,18,0,,14,18,14,18
Georgia,Richmond County,Alabama,Elmore County,4,10,0,,4,10,4,10
Georgia,Richmond County,Alabama,Houston County,100,166,7,8,93,165,107,167
Georgia,Richmond County,Alabama,Jefferson County,16,24,0,,16,24,16,24
Georgia,Richmond County,Alabama,Lee County,15,19,12,17,3,26,27,26
Georgia,Richmond County,Alabama,Macon County,0,,14,15,-14,15,14,15
Georgia,Richmond County,Alabama,Madison County,19,27,0,,19,27,19,27
Georgia,Richmond County,Alabama,Mobile County,208,307,0,,208,307,208,307
Georgia,Richmond County,Alabama,Morgan County,81,100,0,,81,100,81,100
Georgia,Richmond County,Alabama,Perry County,0,,7,14,-7,14,7,14
Georgia,Richmond County,Alabama,Pike County,198,255,0,,198,255,198,255
Georgia,Richmond County,Alabama,Talladega County,0,,5,10,-5,10,5,10
Georgia,Richmond County,Alabama,Tuscaloosa County,65,93,8,18,57,95,73,95
Georgia,Richmond County,Alaska,Anchorage Municipality,0,,45,47,-45,47,45,47
Georgia,Richmond County,Alaska,Fairbanks North Star Borough,0,,22,34,-22,34,22,34
Georgia,Richmond County,Arizona,Cochise County,161,139,51,44,110,148,212,143
Georgia,Richmond County,Arizona,Maricopa County,56,40,12,17,44,44,68,44
Georgia,Richmond County,Arizona,Mohave County,11,16,0,,11,16,11,16
Georgia,Richmond County,Arizona,Pima County,18,23,50,55,-32,59,68,60
Georgia,Richmond County,Arizona,Yavapai County,15,24,0,,15,24,15,24
Georgia,Richmond County,Arkansas,Faulkner County,46,72,0,,46,72,46,72
Georgia,Richmond County,Arkansas,Pulaski County,0,,15,22,-15,22,15,22
Georgia,Richmond County,California,Alameda County,27,24,19,29,8,38,46,38
Georgia,Richmond County,California,Fresno County,41,62,0,,41,62,41,62
Georgia,Richmond County,California,Los Angeles County,180,110,34,38,146,118,214,116
Georgia,Richmond County,California,Monterey County,261,249,19,30,242,252,280,250
Georgia,Richmond County,California,Sacramento County,30,28,0,,30,28,30,28
Georgia,Richmond County,California,San Bernardino County,0,,26,41,-26,41,26,41
Georgia,Richmond County,California,San Diego County,47,62,53,72,-6,102,100,87
Georgia,Richmond County,California,San Joaquin County,31,43,0,,31,43,31,43
Georgia,Richmond County,California,San Luis Obispo County,9,16,0,,9,16,9,16
Georgia,Richmond County,California,San Mateo County,22,26,0,,22,26,22,26
Georgia,Richmond County,California,Santa Barbara County,0,,22,31,-22,31,22,31
Georgia,Richmond County,California,Santa Clara County,15,22,0,,15,22,15,22
Georgia,Richmond County,California,Stanislaus County,6,12,0,,6,12,6,12
Georgia,Richmond County,California,Yolo County,7,10,0,,7,10,7,10
Georgia,Richmond County,Colorado,Denver County,3,5,0,,3,5,3,5
Georgia,Richmond County,Colorado,El Paso County,102,77,47,36,55,81,149,88
Georgia,Richmond County,Colorado,Jefferson County,64,81,14,22,50,84,78,83
Georgia,Richmond County,Colorado,La Plata County,8,13,0,,8,13,8,13
Georgia,Richmond County,Colorado,Larimer County,0,,9,15,-9,15,9,15
Georgia,Richmond County,Connecticut,Hartford County,69,78,0,,69,78,69,78
Georgia,Richmond County,Connecticut,New London County,3,5,0,,3,5,3,5
Georgia,Richmond County,Connecticut,Windham County,20,29,0,,20,29,20,29
Georgia,Richmond County,District of Columbia,District of Columbia,9,15,0,,9,15,9,15
Georgia,Richmond County,Florida,Alachua County,0,,13,17,-13,17,13,17
Georgia,Richmond County,Florida,Brevard County,0,,5,8,-5,8,5,8
Georgia,Richmond County,Florida,Broward County,80,100,41,61,39,121,121,113
Georgia,Richmond County,Florida,Columbia County,76,86,0,,76,86,76,86
Georgia,Richmond County,Florida,Duval County,123,108,42,65,81,122,165,130
Georgia,Richmond County,Florida,Escambia County,65,58,17,28,48,62,82,67
Georgia,Richmond County,Florida,Flagler County,17,18,0,,17,18,17,18
Georgia,Richmond County,Florida,Gadsden County,18,26,0,,18,26,18,26
Georgia,Richmond County,Florida,Hillsborough County,123,118,223,206,-100,242,346,233
Georgia,Richmond County,Florida,Indian River County,9,13,0,,9,13,9,13
Georgia,Richmond County,Florida,Lake County,6,12,0,,6,12,6,12
Georgia,Richmond County,Florida,Manatee County,0,,11,18,-11,18,11,18
Georgia,Richmond County,Florida,Marion County,22,25,21,34,1,42,43,42
Georgia,Richmond County,Florida,Miami-Dade County,37,32,0,,37,32,37,32
Georgia,Richmond County,Florida,Orange County,15,16,0,,15,16,15,16
Georgia,Richmond County,Florida,Osceola County,0,,34,42,-34,42,34,42
Georgia,Richmond County,Florida,Palm Beach County,0,,108,94,-108,94,108,94
Georgia,Richmond County,Florida,Pinellas County,46,54,18,34,28,68,64,59
Georgia,Richmond County,Florida,Polk County,0,,33,53,-33,53,33,53
Georgia,Richmond County,Florida,St. Johns County,24,41,0,,24,41,24,41
Georgia,Richmond County,Florida,Santa Rosa County,1,2,0,,1,2,1,2
Georgia,Richmond County,Florida,Sarasota County,22,25,8,13,14,33,30,23
Georgia,Richmond County,Florida,Seminole County,130,150,0,,130,150,130,150
Georgia,Richmond County,Florida,Sumter County,2,3,0,,2,3,2,3
Georgia,Richmond County,Florida,Union County,5,10,0,,5,10,5,10
Georgia,Richmond County,Georgia,Appling County,6,11,12,12,-6,16,18,16
Georgia,Richmond County,Georgia,Bacon County,11,16,8,16,3,23,19,23
Georgia,Richmond County,Georgia,Baldwin County,65,57,68,59,-3,80,133,84
Georgia,Richmond County,Georgia,Banks County,8,16,0,,8,16,8,16
Georgia,Richmond County,Georgia,Barrow County,0,,1,2,-1,2,1,2
Georgia,Richmond County,Georgia,Bartow County,182,159,0,,182,159,182,159
Georgia,Richmond County,Georgia,Bibb County,64,46,30,26,34,55,94,50
Georgia,Richmond County,Georgia,Bleckley County,0,,14,26,-14,26,14,26
Georgia,Richmond County,Georgia,Bryan County,78,90,0,,78,90,78,90
Georgia,Richmond County,Georgia,Bulloch County,69,76,244,150,-175,165,313,171
Georgia,Richmond County,Georgia,Burke County,672,528,383,217,289,557,"1,055",585
Georgia,Richmond County,Georgia,Butts County,18,20,53,45,-35,50,71,49
Georgia,Richmond County,Georgia,Calhoun County,0,,15,18,-15,18,15,18
Georgia,Richmond County,Georgia,Carroll County,25,26,92,93,-67,98,117,96
Georgia,Richmond County,Georgia,Catoosa County,221,258,0,,221,258,221,258
Georgia,Richmond County,Georgia,Charlton County,0,,18,24,-18,24,18,24
Georgia,Richmond County,Georgia,Chatham County,45,37,428,174,-383,179,473,178
Georgia,Richmond County,Georgia,Cherokee County,19,32,1,2,18,32,20,31
Georgia,Richmond County,Georgia,Clarke County,137,107,129,106,8,159,266,141
Georgia,Richmond County,Georgia,Clayton County,24,23,67,52,-43,59,91,55
Georgia,Richmond County,Georgia,Clinch County,2,4,0,,2,4,2,4
Georgia,Richmond County,Georgia,Cobb County,145,86,424,330,-279,348,569,334
Georgia,Richmond County,Georgia,Coffee County,13,18,5,7,8,19,18,19
Georgia,Richmond County,Georgia,Columbia County,"2,312",551,"2,875",979,-563,"1,089","5,187","1,158"
Georgia,Richmond County,Georgia,Cook County,0,,6,13,-6,13,6,13
Georgia,Richmond County,Georgia,Coweta County,57,56,96,121,-39,141,153,126
Georgia,Richmond County,Georgia,Dade County,10,16,4,8,6,18,14,18
Georgia,Richmond County,Georgia,Dawson County,0,,17,26,-17,26,17,26
Georgia,Richmond County,Georgia,DeKalb County,388,235,292,130,96,261,680,276
Georgia,Richmond County,Georgia,Dodge County,32,25,16,18,16,31,48,30
Georgia,Richmond County,Georgia,Dooly County,13,17,27,24,-14,32,40,27
Georgia,Richmond County,Georgia,Dougherty County,9,13,27,24,-18,28,36,27
Georgia,Richmond County,Georgia,Douglas County,16,20,6,11,10,23,22,23
Georgia,Richmond County,Georgia,Echols County,0,,26,36,-26,36,26,36
Georgia,Richmond County,Georgia,Effingham County,21,19,33,35,-12,41,54,40
Georgia,Richmond County,Georgia,Emanuel County,18,24,4,8,14,24,22,26
Georgia,Richmond County,Georgia,Evans County,0,,23,22,-23,22,23,22
Georgia,Richmond County,Georgia,Fayette County,108,106,23,36,85,111,131,114
Georgia,Richmond County,Georgia,Floyd County,16,18,61,42,-45,48,77,43
Georgia,Richmond County,Georgia,Forsyth County,121,138,10,18,111,139,131,140
Georgia,Richmond County,Georgia,Franklin County,0,,2,5,-2,5,2,5
Georgia,Richmond County,Georgia,Fulton County,379,207,754,481,-375,507,"1,133",540
Georgia,Richmond County,Georgia,Glascock County,0,,3,5,-3,5,3,5
Georgia,Richmond County,Georgia,Glynn County,5,7,20,26,-15,27,25,26
Georgia,Richmond County,Georgia,Gordon County,0,,89,92,-89,92,89,92
Georgia,Richmond County,Georgia,Grady County,3,6,0,,3,6,3,6
Georgia,Richmond County,Georgia,Greene County,0,,31,43,-31,43,31,43
Georgia,Richmond County,Georgia,Gwinnett County,329,234,49,31,280,242,378,229
Georgia,Richmond County,Georgia,Habersham County,6,8,54,71,-48,74,60,68
Georgia,Richmond County,Georgia,Hall County,23,31,62,70,-39,75,85,78
Georgia,Richmond County,Georgia,Hancock County,0,,28,20,-28,20,28,20
Georgia,Richmond County,Georgia,Henry County,38,44,0,,38,44,38,44
Georgia,Richmond County,Georgia,Houston County,27,28,54,67,-27,70,81,74
Georgia,Richmond County,Georgia,Jackson County,5,10,0,,5,10,5,10
Georgia,Richmond County,Georgia,Jasper County,15,19,0,,15,19,15,19
Georgia,Richmond County,Georgia,Jeff Davis County,17,22,0,,17,22,17,22
Georgia,Richmond County,Georgia,Jefferson County,0,,51,46,-51,46,51,46
Georgia,Richmond County,Georgia,Jenkins County,6,10,3,7,3,13,9,12
Georgia,Richmond County,Georgia,Johnson County,14,11,0,,14,11,14,11
Georgia,Richmond County,Georgia,Lamar County,14,22,0,,14,22,14,22
Georgia,Richmond County,Georgia,Lanier County,0,,1,3,-1,3,1,3
Georgia,Richmond County,Georgia,Laurens County,13,22,0,,13,22,13,22
Georgia,Richmond County,Georgia,Lee County,7,10,3,6,4,11,10,12
Georgia,Richmond County,Georgia,Liberty County,28,26,58,45,-30,50,86,54
Georgia,Richmond County,Georgia,Lincoln County,84,106,104,76,-20,129,188,133
Georgia,Richmond County,Georgia,Lowndes County,35,38,17,26,18,49,52,43
Georgia,Richmond County,Georgia,McDuffie County,111,78,152,111,-41,136,263,134
Georgia,Richmond County,Georgia,Macon County,5,11,11,14,-6,18,16,18
Georgia,Richmond County,Georgia,Meriwether County,6,12,8,16,-2,19,14,20
Georgia,Richmond County,Georgia,Mitchell County,17,23,0,,17,23,17,23
Georgia,Richmond County,Georgia,Monroe County,13,16,42,29,-29,31,55,35
Georgia,Richmond County,Georgia,Montgomery County,0,,27,21,-27,21,27,21
Georgia,Richmond County,Georgia,Muscogee County,526,247,17,19,509,248,543,248
Georgia,Richmond County,Georgia,Newton County,75,76,52,65,23,95,127,104
Georgia,Richmond County,Georgia,Oconee County,21,30,0,,21,30,21,30
Georgia,Richmond County,Georgia,Oglethorpe County,4,5,0,,4,5,4,5
Georgia,Richmond County,Georgia,Paulding County,54,85,6,12,48,86,60,85
Georgia,Richmond County,Georgia,Peach County,38,46,40,59,-2,74,78,75
Georgia,Richmond County,Georgia,Pierce County,0,,6,10,-6,10,6,10
Georgia,Richmond County,Georgia,Pike County,8,12,0,,8,12,8,12
Georgia,Richmond County,Georgia,Polk County,20,33,0,,20,33,20,33
Georgia,Richmond County,Georgia,Pulaski County,3,5,40,38,-37,39,43,38
Georgia,Richmond County,Georgia,Rabun County,18,24,0,,18,24,18,24
Georgia,Richmond County,Georgia,Rockdale County,5,8,16,25,-11,28,21,25
Georgia,Richmond County,Georgia,Screven County,44,48,8,15,36,51,52,49
Georgia,Richmond County,Georgia,Spalding County,0,,17,22,-17,22,17,22
Georgia,Richmond County,Georgia,Stephens County,3,6,0,,3,6,3,6
Georgia,Richmond County,Georgia,Sumter County,38,34,18,25,20,42,56,43
Georgia,Richmond County,Georgia,Tattnall County,70,109,30,26,40,115,100,110
Georgia,Richmond County,Georgia,Telfair County,9,12,7,12,2,17,16,17
Georgia,Richmond County,Georgia,Thomas County,13,17,5,9,8,19,18,19
Georgia,Richmond County,Georgia,Toombs County,0,,1,4,-1,4,1,4
Georgia,Richmond County,Georgia,Treutlen County,0,,7,13,-7,13,7,13
Georgia,Richmond County,Georgia,Troup County,0,,19,20,-19,20,19,20
Georgia,Richmond County,Georgia,Turner County,0,,7,13,-7,13,7,13
Georgia,Richmond County,Georgia,Union County,0,,7,12,-7,12,7,12
Georgia,Richmond County,Georgia,Walker County,56,45,0,,56,45,56,45
Georgia,Richmond County,Georgia,Walton County,2,5,88,118,-86,118,90,118
Georgia,Richmond County,Georgia,Warren County,15,21,25,37,-10,42,40,42
Georgia,Richmond County,Georgia,Washington County,30,32,26,30,4,43,56,46
Georgia,Richmond County,Georgia,Wayne County,0,,25,36,-25,36,25,36
Georgia,Richmond County,Georgia,Wheeler County,27,19,0,,27,19,27,19
Georgia,Richmond County,Georgia,Whitfield County,0,,62,62,-62,62,62,62
Georgia,Richmond County,Georgia,Wilcox County,8,14,3,5,5,15,11,15
Georgia,Richmond County,Georgia,Wilkes County,6,10,0,,6,10,6,10
Georgia,Richmond County,Georgia,Worth County,0,,5,11,-5,11,5,11
Georgia,Richmond County,Hawaii,Honolulu County,44,46,346,211,-302,217,390,216
Georgia,Richmond County,Illinois,Cook County,10,13,25,24,-15,27,35,28
Georgia,Richmond County,Illinois,Fulton County,12,16,0,,12,16,12,16
Georgia,Richmond County,Illinois,Lake County,30,58,0,,30,58,30,58
Georgia,Richmond County,Illinois,McHenry County,5,10,0,,5,10,5,10
Georgia,Richmond County,Illinois,Monroe County,8,13,0,,8,13,8,13
Georgia,Richmond County,Illinois,Richland County,0,,6,13,-6,13,6,13
Georgia,Richmond County,Illinois,Rock Island County,6,11,0,,6,11,6,11
Georgia,Richmond County,Illinois,St. Clair County,17,23,0,,17,23,17,23
Georgia,Richmond County,Indiana,Bartholomew County,17,31,0,,17,31,17,31
Georgia,Richmond County,Indiana,Floyd County,1,3,0,,1,3,1,3
Georgia,Richmond County,Indiana,Grant County,15,22,0,,15,22,15,22
Georgia,Richmond County,Indiana,Hamilton County,61,91,0,,61,91,61,91
Georgia,Richmond County,Indiana,Marion County,0,,13,24,-13,24,13,24
Georgia,Richmond County,Indiana,Martin County,13,18,0,,13,18,13,18
Georgia,Richmond County,Indiana,Monroe County,0,,13,21,-13,21,13,21
Georgia,Richmond County,Indiana,St. Joseph County,8,13,0,,8,13,8,13
Georgia,Richmond County,Indiana,Steuben County,0,,15,21,-15,21,15,21
Georgia,Richmond County,Indiana,Switzerland County,6,12,0,,6,12,6,12
Georgia,Richmond County,Iowa,Dallas County,12,17,0,,12,17,12,17
Georgia,Richmond County,Iowa,Linn County,53,53,0,,53,53,53,53
Georgia,Richmond County,Iowa,Madison County,2,5,0,,2,5,2,5
Georgia,Richmond County,Iowa,O'Brien County,11,20,0,,11,20,11,20
Georgia,Richmond County,Iowa,Warren County,5,10,0,,5,10,5,10
Georgia,Richmond County,Kansas,Elk County,4,9,0,,4,9,4,9
Georgia,Richmond County,Kansas,Geary County,0,,12,22,-12,22,12,22
Georgia,Richmond County,Kansas,Johnson County,0,,14,20,-14,20,14,20
Georgia,Richmond County,Kansas,Leavenworth County,57,104,33,66,24,125,90,123
Georgia,Richmond County,Kansas,Ness County,0,,5,7,-5,7,5,7
Georgia,Richmond County,Kansas,Riley County,19,41,0,,19,41,19,41
Georgia,Richmond County,Kansas,Shawnee County,13,19,0,,13,19,13,19
Georgia,Richmond County,Kentucky,Adair County,0,,27,42,-27,42,27,42
Georgia,Richmond County,Kentucky,Hardin County,69,109,0,,69,109,69,109
Georgia,Richmond County,Kentucky,Monroe County,3,6,0,,3,6,3,6
Georgia,Richmond County,Louisiana,Bossier Parish,32,46,0,,32,46,32,46
Georgia,Richmond County,Louisiana,East Baton Rouge Parish,11,15,0,,11,15,11,15
Georgia,Richmond County,Louisiana,Jefferson Parish,3,6,0,,3,6,3,6
Georgia,Richmond County,Louisiana,Plaquemines Parish,17,25,0,,17,25,17,25
Georgia,Richmond County,Louisiana,St. Charles Parish,0,,6,11,-6,11,6,11
Georgia,Richmond County,Louisiana,Vernon Parish,0,,6,13,-6,13,6,13
Georgia,Richmond County,Maine,Cumberland County,20,33,0,,20,33,20,33
Georgia,Richmond County,Maine,Sagadahoc County,9,13,0,,9,13,9,13
Georgia,Richmond County,Maine,Somerset County,16,26,0,,16,26,16,26
Georgia,Richmond County,Maryland,Anne Arundel County,38,34,35,35,3,50,73,48
Georgia,Richmond County,Maryland,Baltimore County,0,,9,14,-9,14,9,14
Georgia,Richmond County,Maryland,Calvert County,10,19,64,82,-54,82,74,86
Georgia,Richmond County,Maryland,Charles County,0,,68,73,-68,73,68,73
Georgia,Richmond County,Maryland,Harford County,14,22,268,323,-254,322,282,324
Georgia,Richmond County,Maryland,Howard County,0,,121,125,-121,125,121,125
Georgia,Richmond County,Maryland,Prince George's County,48,184,6,10,42,184,54,185
Georgia,Richmond County,Maryland,Baltimore City,11,13,0,,11,13,11,13
Georgia,Richmond County,Massachusetts,Franklin County,47,86,0,,47,86,47,86
Georgia,Richmond County,Massachusetts,Middlesex County,13,20,13,20,0,28,26,29
Georgia,Richmond County,Massachusetts,Norfolk County,14,22,81,85,-67,93,95,82
Georgia,Richmond County,Massachusetts,Plymouth County,0,,15,29,-15,29,15,29
Georgia,Richmond County,Massachusetts,Suffolk County,0,,21,22,-21,22,21,22
Georgia,Richmond County,Michigan,Baraga County,20,25,0,,20,25,20,25
Georgia,Richmond County,Michigan,Branch County,0,,12,23,-12,23,12,23
Georgia,Richmond County,Michigan,Calhoun County,22,44,6,6,16,46,28,43
Georgia,Richmond County,Michigan,Cass County,0,,6,9,-6,9,6,9
Georgia,Richmond County,Michigan,Eaton County,0,,32,50,-32,50,32,50
Georgia,Richmond County,Michigan,Kent County,10,15,0,,10,15,10,15
Georgia,Richmond County,Michigan,Ottawa County,24,29,0,,24,29,24,29
Georgia,Richmond County,Michigan,Wayne County,7,12,150,130,-143,129,157,132
Georgia,Richmond County,Minnesota,Dodge County,14,26,0,,14,26,14,26
Georgia,Richmond County,Minnesota,Olmsted County,0,,31,26,-31,26,31,26
Georgia,Richmond County,Minnesota,Otter Tail County,0,,5,5,-5,5,5,5
Georgia,Richmond County,Minnesota,Ramsey County,31,33,0,,31,33,31,33
Georgia,Richmond County,Minnesota,Roseau County,11,15,0,,11,15,11,15
Georgia,Richmond County,Mississippi,Forrest County,33,34,0,,33,34,33,34
Georgia,Richmond County,Mississippi,Hinds County,0,,27,30,-27,30,27,30
Georgia,Richmond County,Mississippi,Lamar County,0,,31,60,-31,60,31,60
Georgia,Richmond County,Mississippi,Tate County,28,44,0,,28,44,28,44
Georgia,Richmond County,Missouri,Johnson County,71,110,0,,71,110,71,110
Georgia,Richmond County,Missouri,Oregon County,0,,3,5,-3,5,3,5
Georgia,Richmond County,Missouri,Pulaski County,0,,21,50,-21,50,21,50
Georgia,Richmond County,Missouri,St. Clair County,0,,11,17,-11,17,11,17
Georgia,Richmond County,Missouri,St. Louis County,6,12,0,,6,12,6,12
Georgia,Richmond County,Missouri,St. Louis City,0,,27,43,-27,43,27,43
Georgia,Richmond County,Montana,Lewis and Clark County,3,5,0,,3,5,3,5
Georgia,Richmond County,Nebraska,Cass County,16,27,0,,16,27,16,27
Georgia,Richmond County,Nebraska,Douglas County,39,64,0,,39,64,39,64
Georgia,Richmond County,Nebraska,Sarpy County,55,73,0,,55,73,55,73
Georgia,Richmond County,Nevada,Churchill County,33,50,0,,33,50,33,50
Georgia,Richmond County,Nevada,Clark County,36,47,0,,36,47,36,47
Georgia,Richmond County,New Hampshire,Cheshire County,59,91,0,,59,91,59,91
Georgia,Richmond County,New Jersey,Burlington County,6,12,0,,6,12,6,12
Georgia,Richmond County,New Jersey,Mercer County,41,55,0,,41,55,41,55
Georgia,Richmond County,New Jersey,Monmouth County,19,27,0,,19,27,19,27
Georgia,Richmond County,New Jersey,Ocean County,32,48,0,,32,48,32,48
Georgia,Richmond County,New York,Allegany County,0,,4,7,-4,7,4,7
Georgia,Richmond County,New York,Bronx County,49,67,11,16,38,69,60,69
Georgia,Richmond County,New York,Erie County,16,26,0,,16,26,16,26
Georgia,Richmond County,New York,Greene County,0,,1,2,-1,2,1,2
Georgia,Richmond County,New York,Herkimer County,0,,76,117,-76,117,76,117
Georgia,Richmond County,New York,Jefferson County,109,162,69,45,40,174,178,162
Georgia,Richmond County,New York,Kings County,12,24,0,,12,24,12,24
Georgia,Richmond County,New York,Monroe County,24,29,17,28,7,41,41,39
Georgia,Richmond County,New York,Nassau County,0,,12,26,-12,26,12,26
Georgia,Richmond County,New York,New York County,5,7,30,32,-25,32,35,32
Georgia,Richmond County,New York,Oneida County,17,26,0,,17,26,17,26
Georgia,Richmond County,New York,Ontario County,20,33,0,,20,33,20,33
Georgia,Richmond County,New York,Schenectady County,3,8,0,,3,8,3,8
Georgia,Richmond County,New York,Suffolk County,0,,40,61,-40,61,40,61
Georgia,Richmond County,New York,Sullivan County,26,31,0,,26,31,26,31
Georgia,Richmond County,New York,Tioga County,14,17,0,,14,17,14,17
Georgia,Richmond County,North Carolina,Brunswick County,0,,1,3,-1,3,1,3
Georgia,Richmond County,North Carolina,Burke County,10,15,0,,10,15,10,15
Georgia,Richmond County,North Carolina,Caldwell County,0,,1,2,-1,2,1,2
Georgia,Richmond County,North Carolina,Cleveland County,0,,22,38,-22,38,22,38
Georgia,Richmond County,North Carolina,Cumberland County,101,84,434,196,-333,210,535,217
Georgia,Richmond County,North Carolina,Davidson County,8,13,34,59,-26,60,42,61
Georgia,Richmond County,North Carolina,Durham County,15,30,0,,15,30,15,30
Georgia,Richmond County,North Carolina,Forsyth County,2,7,0,,2,7,2,7
Georgia,Richmond County,North Carolina,Gaston County,0,,65,96,-65,96,65,96
Georgia,Richmond County,North Carolina,Granville County,0,,13,26,-13,26,13,26
Georgia,Richmond County,North Carolina,Guilford County,0,,35,35,-35,35,35,35
Georgia,Richmond County,North Carolina,Harnett County,76,89,192,227,-116,246,268,242
Georgia,Richmond County,North Carolina,Haywood County,0,,3,6,-3,6,3,6
Georgia,Richmond County,North Carolina,Hoke County,48,74,0,,48,74,48,74
Georgia,Richmond County,North Carolina,Mecklenburg County,98,99,37,36,61,106,135,105
Georgia,Richmond County,North Carolina,Onslow County,0,,123,120,-123,120,123,120
Georgia,Richmond County,North Carolina,Richmond County,0,,3,6,-3,6,3,6
Georgia,Richmond County,North Carolina,Transylvania County,0,,3,6,-3,6,3,6
Georgia,Richmond County,North Carolina,Vance County,49,27,0,,49,27,49,27
Georgia,Richmond County,North Carolina,Wayne County,0,,29,41,-29,41,29,41
Georgia,Richmond County,North Carolina,Yadkin County,0,,39,43,-39,43,39,43
Georgia,Richmond County,Ohio,Clermont County,7,13,0,,7,13,7,13
Georgia,Richmond County,Ohio,Columbiana County,0,,14,25,-14,25,14,25
Georgia,Richmond County,Ohio,Fulton County,5,10,0,,5,10,5,10
Georgia,Richmond County,Ohio,Lake County,8,12,0,,8,12,8,12
Georgia,Richmond County,Ohio,Montgomery County,10,15,0,,10,15,10,15
Georgia,Richmond County,Ohio,Summit County,71,70,0,,71,70,71,70
Georgia,Richmond County,Ohio,Wood County,0,,8,14,-8,14,8,14
Georgia,Richmond County,Oklahoma,Canadian County,9,14,0,,9,14,9,14
Georgia,Richmond County,Oklahoma,Coal County,0,,18,20,-18,20,18,20
Georgia,Richmond County,Oklahoma,Osage County,5,10,0,,5,10,5,10
Georgia,Richmond County,Oklahoma,Pittsburg County,56,75,0,,56,75,56,75
Georgia,Richmond County,Oklahoma,Rogers County,8,16,0,,8,16,8,16
Georgia,Richmond County,Oklahoma,Tulsa County,0,,13,13,-13,13,13,13
Georgia,Richmond County,Oregon,Marion County,23,32,0,,23,32,23,32
Georgia,Richmond County,Oregon,Washington County,32,48,0,,32,48,32,48
Georgia,Richmond County,Oregon,Yamhill County,21,34,0,,21,34,21,34
Georgia,Richmond County,Pennsylvania,Adams County,0,,4,6,-4,6,4,6
Georgia,Richmond County,Pennsylvania,Allegheny County,0,,24,26,-24,26,24,26
Georgia,Richmond County,Pennsylvania,Blair County,9,15,0,,9,15,9,15
Georgia,Richmond County,Pennsylvania,Cambria County,3,8,0,,3,8,3,8
Georgia,Richmond County,Pennsylvania,Chester County,0,,6,10,-6,10,6,10
Georgia,Richmond County,Pennsylvania,Dauphin County,0,,10,16,-10,16,10,16
Georgia,Richmond County,Pennsylvania,Delaware County,8,17,0,,8,17,8,17
Georgia,Richmond County,Pennsylvania,Lancaster County,32,35,73,114,-41,117,105,122
Georgia,Richmond County,Pennsylvania,Lehigh County,0,,18,31,-18,31,18,31
Georgia,Richmond County,Pennsylvania,Philadelphia County,61,97,0,,61,97,61,97
Georgia,Richmond County,Pennsylvania,Susquehanna County,28,43,0,,28,43,28,43
Georgia,Richmond County,Pennsylvania,Washington County,0,,61,67,-61,67,61,67
